Métrica,Valor
Total de livros,58292
Com ISBN (não nulo),57746
ISBNs válidos,57730
ISBNs inválidos,16
ISBN-10 válidos,57730
ISBN-13 válidos,0
ISBNs duplicados,194
Total de duplicatas,388
