cluster_id,size,members
8530.0,3,"[8530, 77070, 98373]"
8684.0,3,"[8684, 8690, 8692]"
9030.0,3,"[9030, 9031, 10689]"
8848.0,3,"[8848, 70720, 78145]"
9541.0,3,"[9541, 59561, 91520]"
9420.0,3,"[9417, 9420, 9424]"
5907.0,3,"[5907, 5912, 23653]"
7052.0,3,"[7052, 28184, 91701]"
1.0,3,"[1, 70367, 93124]"
53.0,3,"[53, 52539, 69941]"
89646.0,3,"[89646, 89649, 89665]"
87494.0,3,"[87494, 87495, 87497]"
87491.0,3,"[87491, 87493, 87499]"
86823.0,3,"[86823, 86824, 86825]"
92945.0,3,"[92945, 92946, 92948]"
162.0,3,"[162, 163, 164]"
122.0,3,"[122, 46836, 84035]"
98411.0,3,"[98411, 98413, 98414]"
45626.0,3,"[45626, 49313, 49314]"
45601.0,3,"[45601, 45603, 45604]"
37741.0,3,"[37741, 80671, 89574]"
37684.0,3,"[37684, 37685, 65645]"
38699.0,3,"[38699, 45840, 45850]"
38197.0,3,"[38197, 43545, 48045]"
40090.0,3,"[40090, 40094, 40096]"
39937.0,3,"[39937, 76514, 76520]"
39508.0,3,"[39508, 76763, 76763]"
39322.0,3,"[39322, 39326, 39328]"
2151.0,3,"[2151, 11267, 50374]"
1989.0,3,"[1989, 81670, 97720]"
1984.0,3,"[1984, 76921, 91678]"
2629.0,3,"[2629, 2630, 2636]"
41345.0,3,"[41345, 58033, 58061]"
33836.0,3,"[33836, 51084, 99245]"
35435.0,3,"[35435, 35438, 35460]"
35885.0,3,"[35885, 83491, 83496]"
35768.0,3,"[35768, 98650, 98651]"
37380.0,3,"[37380, 37384, 77345]"
37297.0,3,"[37297, 37301, 85599]"
36532.0,3,"[36532, 91583, 91587]"
36404.0,3,"[36404, 59977, 88160]"
8909.0,3,"[2510, 8909, 80938]"
2386.0,3,"[2386, 2388, 79251]"
32261.0,3,"[32261, 32901, 77151]"
32155.0,3,"[32155, 32160, 32165]"
31862.0,3,"[31862, 81771, 81774]"
31498.0,3,"[31498, 31505, 77442]"
32687.0,3,"[32687, 35810, 93569]"
32386.0,3,"[32386, 48326, 66178]"
33635.0,3,"[33635, 33642, 33650]"
33557.0,3,"[33557, 33560, 34221]"
33322.0,3,"[33322, 33323, 33324]"
2872.0,3,"[2872, 12787, 80973]"
2807.0,3,"[2802, 2807, 18667]"
16562.0,3,"[3300, 16562, 96440]"
29513.0,3,"[29512, 29513, 29514]"
30762.0,3,"[30762, 30766, 30768]"
30597.0,3,"[30597, 30599, 30602]"
30593.0,3,"[30593, 93925, 93927]"
30314.0,3,"[30314, 30316, 30318]"
30298.0,3,"[30298, 81779, 96987]"
30249.0,3,"[30249, 30250, 30253]"
30231.0,3,"[30231, 30232, 30233]"
31456.0,3,"[31456, 85916, 85916]"
3087.0,3,"[3087, 31461, 77043]"
3067.0,3,"[3067, 44453, 93254]"
3603.0,3,"[3603, 3604, 77705]"
1440.0,3,"[1440, 1444, 1459]"
40912.0,3,"[40912, 68582, 77708]"
41844.0,3,"[41844, 85495, 85534]"
43211.0,3,"[43211, 43212, 86744]"
42512.0,3,"[42512, 42513, 42517]"
42165.0,3,"[42165, 42168, 42805]"
44505.0,3,"[44505, 48641, 57350]"
45181.0,3,"[45181, 45182, 97069]"
44712.0,3,"[44702, 44712, 44717]"
17040.0,3,"[1664, 17040, 17043]"
3586.0,3,"[3586, 10147, 10148]"
31115.0,3,"[31115, 96046, 96047]"
25363.0,3,"[25363, 26832, 26833]"
25152.0,3,"[25152, 25153, 25154]"
43634.0,3,"[26420, 43634, 58106]"
25982.0,3,"[25982, 36440, 60539]"
25803.0,3,"[25803, 25814, 25816]"
26574.0,3,"[26574, 26576, 26577]"
28076.0,3,"[28076, 44509, 99781]"
27297.0,3,"[27297, 27315, 92800]"
30122.0,3,"[30122, 83451, 83456]"
3444.0,3,"[3444, 64481, 85459]"
58653.0,3,"[58653, 58656, 58657]"
58459.0,3,"[58459, 58461, 58465]"
45520.0,3,"[45520, 45524, 45528]"
46311.0,3,"[46311, 80171, 88179]"
47311.0,3,"[47311, 68910, 80692]"
48215.0,3,"[48215, 86820, 86822]"
48210.0,3,"[48210, 77931, 77936]"
48004.0,3,"[48004, 48008, 48013]"
49916.0,3,"[49916, 49918, 49920]"
49808.0,3,"[49805, 49808, 49809]"
51070.0,3,"[51070, 54241, 54243]"
51060.0,3,"[51060, 77223, 84620]"
3986.0,3,"[3986, 16701, 16704]"
22809.0,3,"[22809, 22810, 22813]"
23777.0,3,"[23777, 43647, 43650]"
24378.0,3,"[24378, 45486, 45490]"
24832.0,3,"[24832, 76781, 76781]"
25711.0,3,"[25711, 80470, 86926]"
25701.0,3,"[25701, 44779, 85401]"
4325.0,3,"[4325, 4331, 92862]"
19534.0,3,"[19534, 76992, 79736]"
21647.0,3,"[21647, 82525, 98427]"
22459.0,3,"[22459, 33998, 84959]"
22338.0,3,"[22338, 80375, 80377]"
23483.0,3,"[23483, 23486, 32961]"
4125.0,3,"[4125, 4126, 77025]"
4805.0,3,"[4805, 4806, 4809]"
65788.0,3,"[65788, 65842, 77392]"
68287.0,3,"[68287, 81007, 89853]"
50688.0,3,"[50688, 50691, 60533]"
50139.0,3,"[50139, 57906, 81589]"
51225.0,3,"[51225, 51226, 51231]"
52364.0,3,"[52364, 52368, 52370]"
54472.0,3,"[54472, 54474, 54475]"
56371.0,3,"[56371, 64619, 94779]"
41675.0,3,"[1542, 41675, 85625]"
1516.0,3,"[1516, 1519, 1526]"
1445.0,3,"[1445, 27226, 87539]"
58973.0,3,"[58973, 58976, 58979]"
23249.0,3,"[23249, 23251, 23252]"
23010.0,3,"[23010, 29508, 84456]"
14933.0,3,"[14933, 37556, 84980]"
14839.0,3,"[14839, 14854, 14859]"
17159.0,3,"[17159, 57401, 57410]"
17566.0,3,"[17566, 17568, 17570]"
18287.0,3,"[18287, 80321, 80330]"
18265.0,3,"[18265, 18268, 18269]"
60238.0,3,"[60238, 60242, 60247]"
60137.0,3,"[60137, 60142, 60143]"
60014.0,3,"[60014, 60023, 66745]"
59919.0,3,"[59919, 68033, 92599]"
60908.0,3,"[60908, 60910, 60913]"
62766.0,3,"[62766, 62767, 62769]"
62618.0,3,"[62618, 62619, 62620]"
61897.0,3,"[61897, 84543, 84551]"
65605.0,3,"[65605, 65609, 65640]"
5114.0,3,"[5114, 12001, 77530]"
13549.0,3,"[13549, 13550, 13551]"
21445.0,3,"[13154, 21445, 86416]"
14615.0,3,"[14615, 83858, 83859]"
