title,author,language,year,publisher,id,language_encoded,cluster_kmeans,cluster_dbscan,cluster_hierarchical
"Collected Works of Ralph Waldo Emerson, Volume VI: The Conduct of Life",Ralph Waldo Emerson,unknown,2004,Belknap Press,98460,33,2,0,1
"The Complete Stories of Theodore Sturgeon, Volume 7: A Saucer of Loneliness",Theodore Sturgeon,eng,2002,North Atlantic Books,43416,6,2,0,1
Interventions: Advances in Art and Urban Futures Volume 4,Malcolm Miles,unknown,2005,Intellect Ltd,20764,33,2,0,1
"The Collected Essays and Criticism, Volume 3: Affirmations and Refusals, 1950-1956",Clement Greenberg,unknown,1995,University of Chicago Press,30611,33,2,0,1
"Antonin Artaud, Collected Works, Volume 1",Antonin Artaud,unknown,2001,Calder Publications,75865,33,2,0,1
New Grub Street Volume I [Easyread Edition],George Gissing,unknown,2006,WWW.Readhowyouwant.com,45228,33,2,-1,1
A Commentary on Thucydides: Volume I: Books I - III,Simon Hornblower,unknown,1997,Clarendon Press,90956,33,2,0,1
"The American Promise: A History of the Unites States, Volume II: From 1865",James L. Roark,unknown,2008,Bedford Books,73302,33,2,-1,1
"Demon Diary, Volume 01",Kara,eng,2003,TokyoPop,29497,6,2,0,1
"Random House Crossword Mega Omnibus, Volume 1",United Feature Syndication,eng,1997,Random House Puzzles & Games,36946,6,2,-1,1
The Photobook: A History - Volume II,Martin Parr,unknown,2006,Phaidon Press,91670,33,2,-1,1
"Dokebi Bride, Volume 1",Marley,unknown,2006,NETCOMICS,30972,33,2,0,1
"The Return of Lum, Volume 5: Feudal Furor (Urusei Yatsura, #6)",Rumiko Takahashi,en-US,1997,Viz Media,22822,5,2,0,1
Diabolo: Volume 1,Kei Kusunoki,en-US,2004,TokyoPop,31030,5,2,0,1
"New X-Men: Childhood's End, Volume 3: Nimrod",Craig Kyle,eng,2006,Marvel,68311,6,2,0,1
"Ultimate Spider-Man, Volume 16: Deadpool",Brian Michael Bendis,eng,2006,Marvel,21320,6,2,-1,1
"Rurouni Kenshin, Volume 27",Nobuhiro Watsuki,eng,2006,VIZ Media LLC,32185,6,2,0,1
de Universalibus: Volume 2: On Universals (English Translation),John Wycliffe,unknown,1985,"Oxford University Press, USA",72240,33,2,-1,8
"Statistical Graphics for Visualizing Multivariate Data, Volume 120",William G. Jacoby,unknown,1998,"Sage Publications, Inc",18613,33,2,-1,1
"New X-Men: Childhood's End, Volume 1",Craig Kyle,eng,2006,Marvel,68314,6,2,0,1
