title,author,language,year,publisher,id,language_encoded,cluster_kmeans,cluster_dbscan,cluster_hierarchical
The Sugar Solution: Weight Gain?  Memory Lapses?  Mood Swings?  Fatigue? Your Symptoms Are Real - And Your Solution is Here,Ann Fittante,unknown,2006,Rodale Books,84958,33,3,-1,1
The Handbag Book of Girly Love Emergencies,Jacqueline Williams,unknown,2004,Laurel Glen Publishing,71123,33,3,0,1
Out-of-This-World Astronomy: 50 Amazing Activities  Projects,Joe Rhatigan,unknown,2003,Lark Books,1833,33,3,0,1
Vanity Fair's Hollywood,Vanity Fair,unknown,2001,Studio,5798,33,3,1,1
Competing Devotions: Career and Family Among Women Executives,Mary Blair-Loy,unknown,2006,Harvard University Press,42276,33,3,-1,1
Reviving Ophelia,Mary Pipher,unknown,1994,Putnam Adult,39301,33,3,1,1
The Pursuit of Power,William H. McNeill,unknown,1984,University of Chicago Press,99396,33,3,0,1
Smokescreen,Dick Francis,unknown,2006,G.P. Putnam's Sons,8521,33,3,1,1
This Is Not Chick Lit: Original Stories by America's Best Women Writers,Elizabeth Merrick,unknown,2006,Random House Trade Paperbacks,19625,33,3,-1,1
Mischievous Meg,Astrid Lindgren,unknown,1985,Puffin,42327,33,3,1,1
Uhuru Street: Short Stories,M.G. Vassanji,unknown,1991,Heinemann Educational Books,75052,33,3,0,1
"Endgame (Merovingen Nights, #7)",C.J. Cherryh,en-US,1991,DAW,57083,5,3,1,1
Cliffs Notes on Orwell's 1984,Nikki Moustaki,unknown,2000,Cliffs Notes,5474,33,3,0,9
"Money, money",Martin Amis,fre,2002,Gallimard,89106,8,3,1,1
Passing On,Penelope Lively,unknown,1989,Andre Deutsch,95188,33,3,0,9
The Real Oliver Twist: Robert Blincoe: A Life that Illuminates a Violent Age,John Waller,unknown,2003,Totem Books,60776,33,3,-1,1
"Dawn y el trío insoportable (El Club de las cangura, #5)",Ann M. Martin,spa,1989,Molino,48922,29,3,-1,8
Conviértete en lo que eres. El camino hacia la plena realización del yo interior,Alan W. Watts,spa,1998,Ediciones Oniro,60628,29,3,0,8
100 Habits of Successful Graphic Designers: Insider Secrets from Top Designers on Working Smart and Staying Creative,Josh Berger,unknown,2005,Rockport Publishers,51463,33,3,0,9
"هاري بوتر وكأس النار (Harry Potter, #4)",J.K. Rowling,ara,2006,نهضة مصر للطباعة والنشر والتوزيع,49839,1,3,1,1
