title,author,language,year,publisher,id,language_encoded,cluster_kmeans,cluster_dbscan,cluster_hierarchical
"Traitor's Knot (Wars of Light and Shadow, #7)",Janny Wurts,eng,2006,Meisha Merlin Publishing,28658,6,5,0,3
The Meaning and End of Religion,Wilfred Cantwell Smith,en-US,1991,Augsburg Fortress Publishing,86090,5,5,0,1
Madam Crowl's Ghost and the Dead Sexton,J. Sheridan Le Fanu,unknown,2006,IndyPublish.com,75990,33,5,0,3
American Splendor Presents: Bob and Harv's Comics,Harvey Pekar,unknown,1996,Four Walls Eight Windows,43561,33,5,0,1
Duino Elegies and The Sonnets to Orpheus,Rainer Maria Rilke,eng,2005,Mariner Books,53109,6,5,0,3
Bedford Forrest: And His Critter Company,Andrew Lytle,unknown,1993,J. S. Sanders and Company,55314,33,5,0,1
Jim and Dave Defeat the Masked Man,James Cummins,unknown,2005,Soft Skull Press,69552,33,5,0,1
The Italians: A Full-Length Portrait Featuring Their Manners and Morals,Luigi Barzini,eng,1996,Touchstone,19560,6,5,0,3
"War, Journalism, and the Middle East",Robert Fisk,unknown,2006,AK Press,99828,33,5,-1,1
Charlie and the Chocolate Factory (Abridged),Roald Dahl,en-US,2005,Puffin,6316,5,5,0,3
1-2-3 Draw Pets and Farm Animals,Freddie Levin,unknown,2000,Peel Productions,54784,33,5,0,3
The Last Dive: A Father and Son's Fatal Descent into the Ocean's Depths,Bernie Chowdhury,unknown,2002,Harper Perennial,24036,33,5,0,1
The Liberal Archipelago: A Theory of Diversity and Freedom,Chandran Kukathas,unknown,2003,OUP Oxford,99635,33,5,0,3
Sherlock Holmes and the Red Demon (Sherlock Holmes in Minnesota #1),Larry Millett,eng,2001,Penguin Books,76195,6,5,0,3
"Halflife: Improvisations and Interviews, 1977-87",Charles Wright,unknown,1988,University of Michigan Press,99570,33,5,0,3
Heat and Mass Transfer,Yunus A. Cengel,eng,2006,McGraw-Hill Science/Engineering/Math,28902,6,5,0,3
"Sex, Drugs, Rock and Roll",Eric Bogosian,unknown,2008,Theatre Communications Group,602,33,5,0,3
"Dark Feelings, Grim Thoughts: Experience and Reflection in Camus and Sartre",Robert C. Solomon,unknown,2006,"Oxford University Press, USA",27775,33,5,-1,4
Michael Graves: Buildings and Projects 1990-1994,Patrick Burke,unknown,1995,Rizzoli,50330,33,5,0,3
Victorian Masculinities: Manhood and Masculine Poetics in Early Victorian Literature and Art,Herbert L. Sussman,unknown,1995,Cambridge University Press,25001,33,5,0,1
