title,author,language,year,publisher,id,language_encoded,cluster_kmeans,cluster_dbscan,cluster_hierarchical
An Arab-Syrian Gentleman and Warrior in the Period of the Crusades: Memoirs of Usamah Ibn-Munqidh,Usamah ibn Munqidh,eng,2000,Columbia University Press,9132,6,4,0,4
Rachel Carson: Preserving a Sense of Wonder,Joseph Bruchac,unknown,2004,Fulcrum Publishing,27339,33,4,0,0
"The Return of the Gypsy (Daughters of England, #12)",Philippa Carr,unknown,1986,Fawcett,19864,33,4,0,0
Men of Mathematics,Eric Temple Bell,en-US,1986,Touchstone,66358,5,4,0,0
"Sophia: Goddess of Wisdom, Bride of God",Caitlín Matthews,unknown,2001,Quest Books,88699,33,4,0,1
The Judgment of Paris,Gore Vidal,unknown,2007,Da Capo Press,88876,33,4,0,0
The Collects of Thomas Cranmer,C. Frederick Barbee,unknown,2006,Eerdmans,94080,33,4,0,0
"Lights and Shadows of a Macao Life: The Journal of Harriett Low, Travelling Spinster",Harriet Low Hillard,unknown,2001,Laing Research Services,75229,33,4,0,1
Archaeology: The Science of the Human Past,Mark Q. Sutton,unknown,2005,Allyn & Bacon,65001,33,4,-1,1
The Flowers of Evil,Charles Baudelaire,unknown,2006,Wesleyan,24600,33,4,0,1
Laura: The Life of Laura Ingalls Wilder,Donald Zochert,en-GB,1977,Avon,8221,4,4,0,1
Different Seasons: Biological Aging Among The Mennonites Of The Midwestern United States,K. M. Crawford,unknown,2000,Dept. of Anthropology University of Kansas,47503,33,4,0,0
"Empire of the Sun (Empire of the Sun, #1)",J.G. Ballard,unknown,1985,PANTHER Granada Publishing,56674,33,4,0,0
"The Rescue (Guardians of Ga'Hoole, #3)",Kathryn Lasky,eng,2004,"Scholastic, Inc.",35807,6,4,0,0
"The Twilight of the Nation State: Globalisation, Chaos and War",Prem Shankar Jha,unknown,2006,Pluto Press,43108,33,4,0,1
The Invention of Flight,Susan Neville,unknown,1984,University of Georgia Press,75098,33,4,0,1
The Metaphysics of Star Trek,Richard Hanley,eng,1997,Basic Books,17271,6,4,0,0
"Sheepfarmer's Daughter (The Deed of Paksenarrion, #1)",Elizabeth Moon,eng,2000,Baen Books,96278,6,4,0,0
The Penguin Dictionary of Saints,Donald Attwater,en-US,1995,Penguin,74764,5,4,0,0
"The Pirate Chase (Pirates of the Caribbean: Jack Sparrow, #3)",Rob Kidd,eng,2006,Disney Press,5883,6,4,0,0
