title,author,language,year,publisher,id,language_encoded,cluster_kmeans,cluster_dbscan,cluster_hierarchical
Sweet Wines: A Guide to the World's Best With Recipes,James Peterson,unknown,2002,Harry N. Abrams,86411,33,8,-1,1
"From Mutual Aid to the Welfare State: Fraternal Societies and Social Services, 1890-1967",David T. Beito,unknown,2000,University of North Carolina Press,51308,33,8,-1,1
The Politics of Truth: From Marx to Foucault,Michèle Barrett,unknown,1991,Stanford University Press,62590,33,8,0,1
The Beginner's Guide to Real Estate Investing,Gary W. Eldred,unknown,2004,John Wiley & Sons,1047,33,8,0,2
Through Irish Eyes: A Visual Companion to Angela McCourt's Ireland,David Pritchard,unknown,1998,Smithmark Publishers,65576,33,8,-1,1
Chilton's Guide to Emission Diagnosis Tune-Up and Vacuum Diagrams 1984-87 Import Cars,Chilton Automotive Books,unknown,1987,Chilton Book Company,63966,33,8,0,2
The Cambridge Companion to Aphra Behn,Derek Hughes,unknown,2004,Cambridge University Press,51195,33,8,0,2
Rome Sweet Home: Our Journey to Catholicism,Scott Hahn,en-US,1993,Ignatius Press,68538,5,8,-1,2
To Tame a Sister,Gillian Avery,unknown,1973,Viking Children's Books,5638,33,8,0,2
The Oxford Companion to Philosophy,Ted Honderich,en-GB,2005,"Oxford University Press, USA",31800,4,8,0,1
A Time to Remember,Stanley Shapiro,unknown,1989,Random House Value Publishing,35381,33,8,0,1
"Drowned Wednesday (The Keys to the Kingdom, #3)",Garth Nix,eng,2006,Scholastic Paperbacks,47619,6,8,0,2
"The Reading Zone: How to Help Kids Become Skilled, Passionate, Habitual, Critical Readers",Nancie Atwell,unknown,2007,Scholastic Teaching Resources (Teaching Strategies),70377,33,8,0,1
Ancilla to the Pre-Socratic Philosophers,Kathleen Banks Freeman,eng,2003,Harvard University Press (Cambridge),13414,6,8,0,2
A Companion to Federico Garc�a Lorca,Federico Bonaddio,unknown,2007,Tamesis Books,31586,33,8,0,2
A Transatlantic Love Affair: Letters to Nelson Algren,Simone de Beauvoir,eng,1999,The New Press,21125,6,8,-1,1
What to Expect When You Go to the Dentist,Heidi Murkoff,unknown,2002,HarperFestival,19906,33,8,0,1
"Yes, You Can Get A Financial Life!: Your Lifetime Guide to Financial Planning",Ben Stein,unknown,2006,New Beginnings Press,6784,33,8,0,2
"Here's to You, Jesusa!",Elena Poniatowska,eng,2002,Penguin Books,59200,6,8,0,1
Illustrated Guide to the NEC: Based on the 2005 National Electric Code,Charles R. Miller,eng,2004,Cengage Learning,44877,6,8,-1,2
