Algorithm,N_Clusters,Silhouette_Score,Davies_Bouldin_Score,Calinski_Harabasz_Score
K-Means,10,0.11861683410414699,2.4840365478034445,2052.5757344096387
DBSCAN,49,-0.04413215628252517,,
Hierarchical,10,0.0942688874536897,1.9848533237908939,1611.158659860405
